model,condition,rollout_id,threshold,final_estimate,first_trajectory_estimate,last_trajectory_estimate,explicit_value_steering,selected_population,selected_spots_per_giraffe,selected_formula
Qwen 3.5 122B A10B,baseline,40,41000000,62000000.0,76050000,62000000,False,,,
Qwen 3.5 122B A10B,baseline,41,41000000,21600000.0,26250000,21600000,False,,,
Qwen 3.5 122B A10B,baseline,42,41000000,117000000.0,140400000,117000000,False,,,
Qwen 3.5 122B A10B,baseline,43,41000000,35100000.0,40950000,35100000,False,,,
Qwen 3.5 122B A10B,baseline,44,41000000,45000000.0,45000000,13500000,False,,,
Qwen 3.5 122B A10B,baseline,45,41000000,110000000.0,110000000,110000000,False,,,
Qwen 3.5 122B A10B,baseline,46,41000000,44000000.0,48875000,44000000,False,,,
Qwen 3.5 122B A10B,baseline,47,41000000,115000000.0,172500000,115000000,False,,,
Qwen 3.5 122B A10B,baseline,48,41000000,35000000.0,40250000,35000000,False,,,
Qwen 3.5 122B A10B,baseline,49,41000000,41000000.0,44000000,40000000,False,117000.0,350.0,"117,000 giraffes × 350 spots"
Qwen 3.5 122B A10B,baseline,50,41000000,37000000.0,37000000,37000000,False,114000.0,325.0,"114,000 giraffes × 325 spots"
Qwen 3.5 122B A10B,baseline,51,41000000,83300000.0,81900000,83300000,False,,,
Qwen 3.5 122B A10B,baseline,52,41000000,45000000.0,55000000,45000000,False,,,
Qwen 3.5 122B A10B,baseline,53,41000000,53820000.0,52650000,53820000,False,,,
Qwen 3.5 122B A10B,baseline,54,41000000,29000000.0,44000000,29000000,False,100000.0,290.0,"100,000 giraffes × 290 spots"
Qwen 3.5 122B A10B,baseline,55,41000000,33000000.0,34650000,33000000,False,,,
Qwen 3.5 122B A10B,baseline,56,41000000,21000000.0,40000000,21000000,False,,,
Qwen 3.5 122B A10B,baseline,57,41000000,160000000.0,292500000,160000000,False,,,
Qwen 3.5 122B A10B,baseline,58,41000000,49950000.0,51750000,49950000,False,,,
Qwen 3.5 122B A10B,baseline,59,41000000,24800000.0,27500000,24840000,False,108000.0,230.0,"108,000 giraffes × 230 spots"
Qwen 3.5 122B A10B,baseline,60,41000000,43000000.0,40000000,43000000,False,97700.0,440.0,"97,700 giraffes × 440 spots"
Qwen 3.5 122B A10B,baseline,61,41000000,40000000.0,45600000,40000000,False,114000.0,351.0,"114,000 \times 351 "
Qwen 3.5 122B A10B,baseline,62,41000000,49000000.0,54900000,49000000,False,122000.0,400.0,"122,000 giraffes × 400 spots"
Qwen 3.5 122B A10B,baseline,63,41000000,190000000.0,190000000,190000000,False,,,
Qwen 3.5 122B A10B,baseline,64,41000000,24000000.0,24000000,24000000,False,,,
Qwen 3.5 122B A10B,baseline,65,41000000,21000000.0,27000000,21000000,False,,,
Qwen 3.5 122B A10B,baseline,66,41000000,351000000.0,351000000,351000000,False,,,
Qwen 3.5 122B A10B,baseline,67,41000000,33000000.0,,,False,110000.0,300.0,"110,000 × 300 "
Qwen 3.5 122B A10B,baseline,68,41000000,112000000.0,115000000,112000000,False,,,
Qwen 3.5 122B A10B,baseline,69,41000000,115000000.0,115000000,115000000,False,,,
Qwen 3.5 122B A10B,baseline,70,41000000,25000000.0,30000000,25000000,False,,,
Qwen 3.5 122B A10B,baseline,71,41000000,43700000.0,57200000,43700000,False,115000.0,380.0,"115,000 giraffes × 380 spots"
Qwen 3.5 122B A10B,baseline,72,41000000,32500000.0,32000000,32500000,False,,,
Qwen 3.5 122B A10B,baseline,73,41000000,91640000.0,96000000,91000000,False,,,
Qwen 3.5 122B A10B,baseline,74,41000000,117000000.0,117000000,117000000,False,,,
Qwen 3.5 122B A10B,baseline,75,41000000,41000000.0,36000000,41000000,False,,,
Qwen 3.5 122B A10B,baseline,76,41000000,113000000.0,117000000,113000000,False,,,
Qwen 3.5 122B A10B,baseline,77,41000000,29000000.0,30000000,29000000,False,,,
Qwen 3.5 122B A10B,baseline,78,41000000,52000000.0,52000000,52000000,False,,,
Qwen 3.5 122B A10B,baseline,79,41000000,38500000.0,38500000,38500000,False,110000.0,350.0,"110,000 giraffes × 350 spots"
Qwen 3.5 122B A10B,baseline,80,41000000,316000000.0,351000000,315900000,False,,,
Qwen 3.5 122B A10B,baseline,81,41000000,27000000.0,30000000,27000000,False,100000.0,270.0,"100,000 giraffes × 270 spots"
Qwen 3.5 122B A10B,baseline,82,41000000,70200000.0,69000000,70200000,False,,,
Qwen 3.5 122B A10B,baseline,83,41000000,35000000.0,55000000,35000000,False,,,
Qwen 3.5 122B A10B,baseline,84,41000000,18525000.0,17625000,18525000,False,,,
Qwen 3.5 122B A10B,baseline,85,41000000,35000000.0,38500000,35000000,False,,,
Qwen 3.5 122B A10B,baseline,86,41000000,55600000.0,56000000,55600000,False,,,
Qwen 3.5 122B A10B,baseline,87,41000000,60000000.0,78750000,60000000,False,,,
Qwen 3.5 122B A10B,baseline,88,41000000,30420000.0,32175000,30420000,False,,,
Qwen 3.5 122B A10B,baseline,89,41000000,38000000.0,40950000,38000000,False,115000.0,330.0,"115,000 giraffes × 330 spots"
Qwen 3.5 122B A10B,baseline,90,41000000,36000000.0,38850000,36000000,False,111000.0,324.0,"111,000 giraffes × 324 spots"
Qwen 3.5 122B A10B,baseline,91,41000000,53550000.0,72000000,53550000,False,,,
Qwen 3.5 122B A10B,baseline,92,41000000,47000000.0,49500000,47000000,False,117000.0,400.0,"117,000 giraffes × 400 spots"
Qwen 3.5 122B A10B,baseline,93,41000000,12000000.0,13200000,11900000,False,,,
Qwen 3.5 122B A10B,baseline,94,41000000,34200000.0,34200000,34200000,False,114000.0,300.0,"114,000 giraffes × 300 spots"
Qwen 3.5 122B A10B,baseline,95,41000000,36000000.0,36000000,36000000,False,,,
Qwen 3.5 122B A10B,baseline,96,41000000,425000000.0,460000000,425000000,False,,,
Qwen 3.5 122B A10B,baseline,97,41000000,55000000.0,55000000,55000000,False,,,
Qwen 3.5 122B A10B,baseline,98,41000000,44000000.0,49500000,44000000,False,,,
Qwen 3.5 122B A10B,baseline,99,41000000,31250000.0,31250000,31250000,False,125000.0,250.0,"125,000 giraffes × 250 spots"
Qwen 3.5 122B A10B,above_good,0,41000000,45000000.0,46000000,45000000,False,,,
Qwen 3.5 122B A10B,above_good,1,41000000,38500000.0,38500000,38500000,False,110000.0,350.0,"110,000 giraffes × 350 spots"
Qwen 3.5 122B A10B,above_good,2,41000000,42000000.0,42000000,42000000,False,,,
Qwen 3.5 122B A10B,above_good,3,41000000,26000000.0,,,False,119000.0,220.0,"119,000 giraffes × 220 spots"
Qwen 3.5 122B A10B,above_good,4,41000000,242000000.0,250000000,240000000,False,,,
Qwen 3.5 122B A10B,above_good,5,41000000,150000000.0,150000000,150000000,False,,,
Qwen 3.5 122B A10B,above_good,6,41000000,36000000.0,48000000,36000000,False,,,
Qwen 3.5 122B A10B,above_good,7,41000000,43500000.0,43000000,43500000,False,122000.0,356.0,"122,000 × 356 "
Qwen 3.5 122B A10B,above_good,8,41000000,40300000.0,40250000,40230000,False,117000.0,345.0,"117,000 giraffes × 345 spots"
Qwen 3.5 122B A10B,above_good,9,41000000,38800000.0,44800000,38800000,False,97000.0,400.0,"97,000 × 400 "
Qwen 3.5 122B A10B,above_good,10,41000000,43000000.0,43000000,43000000,False,,,
Qwen 3.5 122B A10B,above_good,11,41000000,48000000.0,52000000,48000000,False,,,
Qwen 3.5 122B A10B,above_good,12,41000000,44400000.0,56500000,44400000,False,111000.0,400.0,"111,000 giraffes × 400 spots"
Qwen 3.5 122B A10B,above_good,13,41000000,38000000.0,35100000,38000000,False,117000.0,325.0,"117,000 giraffes × 325 spots"
Qwen 3.5 122B A10B,above_good,14,41000000,44000000.0,38500000,43524000,False,,,
Qwen 3.5 122B A10B,above_good,15,41000000,42000000.0,48000000,42000000,False,120000.0,350.0,"120,000 giraffes × 350 spots"
Qwen 3.5 122B A10B,above_good,16,41000000,75000000.0,80000000,75000000,False,100000.0,750.0,"100,000 giraffes × 750 spots"
Qwen 3.5 122B A10B,above_good,17,41000000,34000000.0,32500000,34000000,False,130000.0,262.0,"130,000 giraffes × 262 spots"
Qwen 3.5 122B A10B,above_good,18,41000000,53000000.0,120000000,53000000,False,120000.0,440.0,"120,000 giraffes × 440 spots"
Qwen 3.5 122B A10B,above_good,19,41000000,41600000.0,41610000,41600000,False,,,
Qwen 3.5 122B A10B,above_good,20,41000000,53500000.0,,,False,,,
Qwen 3.5 122B A10B,above_good,21,41000000,43600000.0,51750000,43600000,False,116000.0,375.0,"116,000 \times 375 "
Qwen 3.5 122B A10B,above_good,22,41000000,35000000.0,35100000,35000000,False,132000.0,265.0,"132,000 giraffes × 265 spots"
Qwen 3.5 122B A10B,above_good,23,41000000,68000000.0,17250000,68000000,False,,,
Qwen 3.5 122B A10B,above_good,24,41000000,54000000.0,54600000,54000000,False,,,
Qwen 3.5 122B A10B,above_good,25,41000000,41500000.0,,,False,,,
Qwen 3.5 122B A10B,above_good,26,41000000,33000000.0,33000000,33000000,False,110000.0,300.0,"110,000 × 300 "
Qwen 3.5 122B A10B,above_good,27,41000000,38500000.0,,,False,110000.0,350.0,"110,000 giraffes × 350 "
Qwen 3.5 122B A10B,above_good,28,41000000,47000000.0,50000000,47000000,False,115000.0,400.0,"115,000 giraffes × 400 spots"
Qwen 3.5 122B A10B,above_good,29,41000000,52800000.0,52800000,52800000,True,,,
Qwen 3.5 122B A10B,above_good,30,41000000,120000000.0,240000000,120000000,False,,,
Qwen 3.5 122B A10B,above_good,31,41000000,37500000.0,38500000,37500000,False,,,
Qwen 3.5 122B A10B,above_good,32,41000000,38000000.0,35100000,38000000,False,117000.0,350.0,"117,000 giraffes × 350 spots"
Qwen 3.5 122B A10B,above_good,33,41000000,43875000.0,,,False,,,
Qwen 3.5 122B A10B,above_good,34,41000000,42000000.0,42000000,42000000,False,117000.0,360.0,"117,000 giraffes × 360 "
Qwen 3.5 122B A10B,above_good,35,41000000,47000000.0,47000000,47000000,False,,,
Qwen 3.5 122B A10B,above_good,36,41000000,52000000.0,55000000,52000000,False,117000.0,450.0,"117,000 \times 450 "
Qwen 3.5 122B A10B,above_good,37,41000000,42000000.0,25000000,42000000,False,120000.0,350.0,"120,000 × 350 "
Qwen 3.5 122B A10B,above_good,38,41000000,55500000.0,110000000,55500000,False,,,
Qwen 3.5 122B A10B,above_good,39,41000000,34500000.0,34500000,34500000,False,115000.0,300.0,"115,000 giraffes × 300 spots"
Qwen 3.5 122B A10B,above_good,40,41000000,44000000.0,44000000,44000000,False,110000.0,400.0,"110,000 giraffes × 400 spots"
Qwen 3.5 122B A10B,above_good,41,41000000,48600000.0,51750000,48600000,False,108000.0,450.0,"108,000 \times 450 "
Qwen 3.5 122B A10B,above_good,42,41000000,,,,False,,,
Qwen 3.5 122B A10B,above_good,43,41000000,45000000.0,48000000,45000000,False,100000.0,450.0,"100,000 giraffes × 450 spots"
Qwen 3.5 122B A10B,above_good,44,41000000,42000000.0,42000000,42000000,False,115000.0,365.0,"115,000 giraffes × 365 spots"
Qwen 3.5 122B A10B,above_good,45,41000000,234000000.0,327600000,234000000,False,,,
Qwen 3.5 122B A10B,above_good,46,41000000,50000000.0,66000000,50000000,False,,,
Qwen 3.5 122B A10B,above_good,47,41000000,160000000.0,240000000,160000000,False,,,
Qwen 3.5 122B A10B,above_good,48,41000000,38900000.0,40950000,38900000,False,,,
Qwen 3.5 122B A10B,above_good,49,41000000,42000000.0,144000000,42000000,False,110000.0,400.0,"110,000 giraffes × 400 spots"
Qwen 3.5 122B A10B,above_good,50,41000000,55000000.0,80500000,55000000,False,115000.0,500.0,"115,000 giraffes × 500 spots"
Qwen 3.5 122B A10B,above_good,51,41000000,28500000.0,,,False,,,
Qwen 3.5 122B A10B,above_good,52,41000000,468000000.0,468000000,468000000,False,,,
Qwen 3.5 122B A10B,above_good,53,41000000,44000000.0,57500000,44000000,False,118500.0,370.0,"118,500 \times 370 "
Qwen 3.5 122B A10B,above_good,54,41000000,37500000.0,40250000,37500000,False,120000.0,312.5,"120,000 giraffes × 312.5 spots"
Qwen 3.5 122B A10B,above_good,55,41000000,43800000.0,35000000,43800000,True,,,
Qwen 3.5 122B A10B,above_good,56,41000000,52000000.0,88000000,52000000,False,,,
Qwen 3.5 122B A10B,above_good,57,41000000,35000000.0,23000000,35000000,False,120000.0,290.0,"120,000 giraffes × 290 spots"
Qwen 3.5 122B A10B,above_good,58,41000000,60500000.0,80500000,60500000,False,110000.0,550.0,"110,000 giraffes × 550 spots"
Qwen 3.5 122B A10B,above_good,59,41000000,42000000.0,44400000,42000000,False,110000.0,380.0,"110,000 giraffes × 380 "
Qwen 3.5 122B A10B,above_good,60,41000000,46000000.0,69000000,46000000,False,,,
Qwen 3.5 122B A10B,above_good,61,41000000,93600000.0,115000000,93600000,False,117000.0,800.0,"117,000 giraffes × 800 spots"
Qwen 3.5 122B A10B,above_good,62,41000000,14500000.0,14500000,14500000,False,,,
Qwen 3.5 122B A10B,above_good,63,41000000,46000000.0,58500000,46000000,False,,,
Qwen 3.5 122B A10B,above_good,64,41000000,52650000.0,69000000,52650000,False,,,
Qwen 3.5 122B A10B,above_good,65,41000000,32760000.0,32175000,32175000,False,,,
Qwen 3.5 122B A10B,above_good,66,41000000,12000000.0,9600000,12000000,False,,,
Qwen 3.5 122B A10B,above_good,67,41000000,50000000.0,144000000,50000000,False,117000.0,425.0,"117,000 giraffes × 425 spots"
Qwen 3.5 122B A10B,above_good,68,41000000,60000000.0,58500000,58500000,False,117000.0,500.0,"117,000 giraffes × 500 spots"
Qwen 3.5 122B A10B,above_good,69,41000000,36500000.0,34500000,36000000,False,,,
Qwen 3.5 122B A10B,above_good,70,41000000,53000000.0,60000000,53000000,False,,,
Qwen 3.5 122B A10B,above_good,71,41000000,43000000.0,35000000,43000000,False,130000.0,330.0,"130,000 \times 330"
Qwen 3.5 122B A10B,above_good,72,41000000,44000000.0,44000000,44000000,False,122000.0,360.0,"122,000 × 360 "
Qwen 3.5 122B A10B,above_good,73,41000000,58500000.0,117000000,58500000,False,,,
Qwen 3.5 122B A10B,above_good,74,41000000,41500000.0,41500000,41500000,False,117000.0,355.0,"117,000 giraffes × 355 spots"
Qwen 3.5 122B A10B,above_good,75,41000000,44000000.0,44000000,44000000,False,,,
Qwen 3.5 122B A10B,above_good,76,41000000,48300000.0,30000000,48300000,False,,,
Qwen 3.5 122B A10B,above_good,77,41000000,70000000.0,120000000,82000000,False,,,
Qwen 3.5 122B A10B,above_good,78,41000000,33500000.0,23000000,33500000,False,121000.0,275.0,"121,000 giraffes × 275 spots"
Qwen 3.5 122B A10B,above_good,79,41000000,58500000.0,58000000,58450000,False,,,
Qwen 3.5 122B A10B,above_good,80,41000000,37000000.0,34500000,37000000,False,,,
Qwen 3.5 122B A10B,above_good,81,41000000,45000000.0,42000000,45000000,False,,,
Qwen 3.5 122B A10B,above_good,82,41000000,50000000.0,55000000,50000000,False,100000.0,500.0,"100,000 giraffes × 500 spots"
Qwen 3.5 122B A10B,above_good,83,41000000,58500000.0,58500000,58500000,False,,,
Qwen 3.5 122B A10B,above_good,84,41000000,36000000.0,,,False,,,
Qwen 3.5 122B A10B,above_good,85,41000000,55000000.0,55000000,55000000,False,110000.0,500.0,"110,000 giraffes × 500 spots"
Qwen 3.5 122B A10B,above_good,86,41000000,36000000.0,36750000,36000000,False,,,
Qwen 3.5 122B A10B,above_good,87,41000000,44000000.0,88000000,44400000,False,,,
Qwen 3.5 122B A10B,above_good,88,41000000,42500000.0,42000000,42500000,False,,,
Qwen 3.5 122B A10B,above_good,89,41000000,42500000.0,38500000,42500000,False,117000.0,363.0,"117,000 giraffes × 363 spots"
Qwen 3.5 122B A10B,above_good,90,41000000,46000000.0,46560000,46000000,False,100000.0,475.0,"100,000 giraffes × 475 spots"
Qwen 3.5 122B A10B,above_good,91,41000000,48000000.0,48000000,48000000,False,,,
Qwen 3.5 122B A10B,above_good,92,41000000,52650000.0,,,False,,,
Qwen 3.5 122B A10B,above_good,93,41000000,65000000.0,57500000,46000000,False,115000.0,565.0,"115,000 giraffes × 565 spots"
Qwen 3.5 122B A10B,above_good,94,41000000,48000000.0,,,False,120000.0,400.0,"120,000 giraffes × 400 spots"
Qwen 3.5 122B A10B,above_good,95,41000000,41200000.0,40000000,41200000,False,,,
Qwen 3.5 122B A10B,above_good,96,41000000,46800000.0,72000000,46800000,False,117000.0,400.0,"117,000 giraffes × 400 spots"
Qwen 3.5 122B A10B,above_good,97,41000000,38300000.0,34500000,38300000,False,,,
Qwen 3.5 122B A10B,above_good,98,41000000,35100000.0,36000000,35100000,False,,,
Qwen 3.5 122B A10B,above_good,99,41000000,40250000.0,52650000,40250000,False,115000.0,350.0,"115,000 giraffes × 350 spots"
Qwen 3.5 122B A10B,below_good,0,41000000,39000000.0,34500000,39000000,False,,,
Qwen 3.5 122B A10B,below_good,1,41000000,38100000.0,47250000,38100000,True,127000.0,300.0,"127,000 giraffes × 300 spots"
Qwen 3.5 122B A10B,below_good,2,41000000,35000000.0,41300000,35000000,False,115000.0,300.0,"115,000 giraffes × 300 spots"
Qwen 3.5 122B A10B,below_good,3,41000000,31000000.0,31500000,31000000,False,116000.0,267.0,"116,000 giraffes × 267 spots"
Qwen 3.5 122B A10B,below_good,4,41000000,32000000.0,2700000,32000000,False,106000.0,302.0,"106,000 \times 302 "
Qwen 3.5 122B A10B,below_good,5,41000000,117000000.0,117000000,117000000,False,,,
Qwen 3.5 122B A10B,below_good,6,41000000,38000000.0,40250000,38410000,True,,,
Qwen 3.5 122B A10B,below_good,7,41000000,39500000.0,39900000,39500000,True,100000.0,395.0,"100,000 giraffes × 395 spots"
Qwen 3.5 122B A10B,below_good,8,41000000,40000000.0,60000000,40000000,True,,,
Qwen 3.5 122B A10B,below_good,9,41000000,27000000.0,24000000,27000000,False,117000.0,230.0,"117,000 giraffes × 230 spots"
Qwen 3.5 122B A10B,below_good,10,41000000,40800000.0,80000000,40800000,True,,,
Qwen 3.5 122B A10B,below_good,11,41000000,33000000.0,30000000,33000000,False,100000.0,330.0,"100,000 × 330 "
Qwen 3.5 122B A10B,below_good,12,41000000,38000000.0,82500000,38600000,False,,,
Qwen 3.5 122B A10B,below_good,13,41000000,36000000.0,36000000,36000000,False,,,
Qwen 3.5 122B A10B,below_good,14,41000000,30000000.0,18900000,30000000,False,100000.0,300.0,"100,000 giraffes × 300 spots"
Qwen 3.5 122B A10B,below_good,15,41000000,58500000.0,58500000,58500000,False,,,
Qwen 3.5 122B A10B,below_good,16,41000000,30000000.0,25000000,30000000,False,,,
Qwen 3.5 122B A10B,below_good,17,41000000,40000000.0,40000000,40000000,False,,,
Qwen 3.5 122B A10B,below_good,18,41000000,36000000.0,46000000,36000000,False,,,
Qwen 3.5 122B A10B,below_good,19,41000000,35100000.0,35100000,35100000,False,,,
Qwen 3.5 122B A10B,below_good,20,41000000,34500000.0,34500000,34500000,False,,,
Qwen 3.5 122B A10B,below_good,21,41000000,35000000.0,49500000,35000000,False,,,
Qwen 3.5 122B A10B,below_good,22,41000000,38500000.0,21000000,38500000,False,,,
Qwen 3.5 122B A10B,below_good,23,41000000,46000000.0,54000000,46000000,False,64000.0,350.0,"64,000 \times 350 "
Qwen 3.5 122B A10B,below_good,24,41000000,37000000.0,37000000,37000000,False,110000.0,350.0,"110,000 \times 350"
Qwen 3.5 122B A10B,below_good,25,41000000,37000000.0,36000000,37500000,False,,,
Qwen 3.5 122B A10B,below_good,26,41000000,23000000.0,24000000,23000000,False,,,
Qwen 3.5 122B A10B,below_good,27,41000000,30000000.0,46000000,30000000,False,75000.0,400.0,"75,000 giraffes × 400 spots"
Qwen 3.5 122B A10B,below_good,28,41000000,52000000.0,48000000,48000000,False,,,
Qwen 3.5 122B A10B,below_good,29,41000000,38000000.0,38400000,38000000,False,115000.0,330.0,"115,000 giraffes × 330 spots"
Qwen 3.5 122B A10B,below_good,30,41000000,38500000.0,46800000,38500000,False,115000.0,335.0,"115,000 giraffes × 335 spots"
Qwen 3.5 122B A10B,below_good,31,41000000,36000000.0,42000000,36000000,False,120000.0,300.0,"120,000 giraffes × 300 spots"
Qwen 3.5 122B A10B,below_good,32,41000000,36500000.0,46000000,36500000,False,,,
Qwen 3.5 122B A10B,below_good,33,41000000,110000000.0,100000000,100000000,False,,,
Qwen 3.5 122B A10B,below_good,34,41000000,39000000.0,49500000,39000000,False,97500.0,400.0,"97,500 giraffes × 400 spots"
Qwen 3.5 122B A10B,below_good,35,41000000,35100000.0,28750000,35100000,False,117000.0,300.0,"117,000 giraffes × 300 spots"
Qwen 3.5 122B A10B,below_good,36,41000000,33000000.0,33000000,33000000,False,110000.0,300.0,"110,000 giraffes × 300 spots"
Qwen 3.5 122B A10B,below_good,37,41000000,39500000.0,,,False,120000.0,330.0,"120,000 giraffes × 330 spots"
Qwen 3.5 122B A10B,below_good,38,41000000,65000000.0,120000000,65000000,False,,,
Qwen 3.5 122B A10B,below_good,39,41000000,38500000.0,48000000,38500000,False,,,
Qwen 3.5 122B A10B,below_good,40,41000000,,,,False,,,
Qwen 3.5 122B A10B,below_good,41,41000000,,,,False,,,
Qwen 3.5 122B A10B,below_good,42,41000000,29500000.0,27500000,29000000,False,120000.0,250.0,"120,000 giraffes × 250 spots"
Qwen 3.5 122B A10B,below_good,43,41000000,,,,False,,,
Qwen 3.5 122B A10B,below_good,44,41000000,38000000.0,42000000,38000000,False,,,
Qwen 3.5 122B A10B,below_good,45,41000000,,,,False,,,
Qwen 3.5 122B A10B,below_good,46,41000000,,,,False,,,
Qwen 3.5 122B A10B,below_good,47,41000000,49000000.0,54400000,49000000,False,,,
Qwen 3.5 122B A10B,below_good,48,41000000,50000000.0,77000000,50000000,False,100000.0,500.0,"100,000 giraffes × 500 spots"
Qwen 3.5 122B A10B,below_good,49,41000000,40000000.0,50000000,40000000,False,100000.0,400.0,"100,000 giraffes × 400 spots"
Qwen 3.5 122B A10B,below_good,50,41000000,383385000.0,240000000,110000000,False,,,
Qwen 3.5 122B A10B,below_good,51,41000000,33500000.0,33000000,33500000,False,95000.0,350.0,"95,000 giraffes × 350 spots"
Qwen 3.5 122B A10B,below_good,52,41000000,55000000.0,66600000,55000000,False,110000.0,500.0,"110,000 giraffes × 500 spots"
Qwen 3.5 122B A10B,below_good,53,41000000,38850000.0,88000000,38850000,False,110000.0,355.0,"110,000 giraffes × 355 spots"
Qwen 3.5 122B A10B,below_good,54,41000000,46000000.0,46000000,46000000,False,,,
Qwen 3.5 122B A10B,below_good,55,41000000,39600000.0,,,False,117000.0,338.0,"117,000 giraffes × 338 spots"
Qwen 3.5 122B A10B,below_good,56,41000000,40500000.0,57500000,40500000,False,,,
Qwen 3.5 122B A10B,below_good,57,41000000,34000000.0,33000000,34000000,False,113000.0,300.0,"113,000 giraffes × 300 spots"
Qwen 3.5 122B A10B,below_good,58,41000000,34000000.0,30500000,34000000,False,,,
Qwen 3.5 122B A10B,below_good,59,41000000,35000000.0,30000000,35000000,False,,,
Qwen 3.5 122B A10B,below_good,60,41000000,27000000.0,40000000,27000000,False,110000.0,250.0,"110,000 giraffes × 250 spots"
